id,type,english,burmese,example_en,example_my,pronunciation,audio_url,category
,word,work,အလုပ်၊ အလုပ်လုပ်,I work at a hospital.,ကျွန်တော် ဆေးရုံမှာ အလုပ်လုပ်တယ်။,/wɜːk/,https://api.dictionaryapi.dev/media/pronunciations/en/work-uk.mp3,work-study
,word,use,သုံး၊ အသုံးပြု,Can I use your phone?,ခင်ဗျားရဲ့ဖုန်းကို သုံးလို့ရမလား။,,,everyday
,word,now,အခု၊ ယခု,I need to leave now.,ကျွန်တော် အခု ထွက်ရမယ်။,/naʊ/,https://api.dictionaryapi.dev/media/pronunciations/en/now-uk.mp3,everyday
,word,then,ထို့နောက်,"We ate dinner, then watched a movie.",ညစာစားပြီး ရုပ်ရှင်ကြည့်ခဲ့ကြတယ်။,/ðen/,https://api.dictionaryapi.dev/media/pronunciations/en/then-us.mp3,everyday
,word,also,လည်း,She also speaks French.,သူ ပြင်သစ်စကားကိုလည်း ပြောတတ်တယ်။,/ˈɔːl.səʊ/,https://api.dictionaryapi.dev/media/pronunciations/en/also-us.mp3,everyday
,word,only,သာ၊ တစ်ခုတည်း,I only have five dollars.,ကျွန်တော့်မှာ ငါးဒေါ်လာပဲ ရှိတယ်။,/ˈəʊn.li/,https://api.dictionaryapi.dev/media/pronunciations/en/only-us.mp3,everyday
,word,look,ကြည့်,Look at the sky.,ကောင်းကင်ကို ကြည့်ပါ။,,,everyday
,word,want,လိုချင်,I want a cup of tea.,ကျွန်တော် လက်ဖက်ရည်တစ်ခွက် လိုချင်တယ်။,/wɔnt/,https://api.dictionaryapi.dev/media/pronunciations/en/want-uk.mp3,everyday
,word,give,ပေး,Can you give me the pen?,ခဲတံကို ပေးလို့ရမလား။,/ɡɪv/,https://api.dictionaryapi.dev/media/pronunciations/en/give-1-uk.mp3,everyday
,word,new,အသစ်,I bought a new phone.,ကျွန်တော် ဖုန်းအသစ်တစ်လုံး ဝယ်လိုက်တယ်။,/njʉː/,https://api.dictionaryapi.dev/media/pronunciations/en/new-au.mp3,everyday
,word,way,နည်းလမ်း၊ လမ်း,This is the way to the station.,ဒါက ဘူတာရုံကို သွားတဲ့ လမ်းပါ။,/weɪ/,https://api.dictionaryapi.dev/media/pronunciations/en/way-uk.mp3,everyday
,word,find,ရှာ၊ တွေ့,I can't find my keys.,ကျွန်တော့် သော့တွေကို ရှာမတွေ့ဘူး။,/faɪnd/,https://api.dictionaryapi.dev/media/pronunciations/en/find-uk.mp3,everyday
,word,day,နေ့,Today is a beautiful day.,ဒီနေ့က လှပတဲ့ နေ့တစ်နေ့ပါ။,/deɪ/,https://api.dictionaryapi.dev/media/pronunciations/en/day-us.mp3,everyday
,word,thing,အရာ,I have one more thing to say.,ကျွန်တော် ထပ်ပြောစရာ အရာတစ်ခု ရှိသေးတယ်။,/θɪŋ/,https://api.dictionaryapi.dev/media/pronunciations/en/thing-us.mp3,everyday
,word,need,လို၊ လိုအပ်,I need some water.,ကျွန်တော် ရေနည်းနည်း လိုတယ်။,/niːd/,https://api.dictionaryapi.dev/media/pronunciations/en/need-us.mp3,everyday
,word,right,မှန်၊ ညာဘက်,Turn right at the corner.,ထောင့်ဆုံမှာ ညာဘက်ကို လှည့်ပါ။,/ˈɹaɪt/,https://api.dictionaryapi.dev/media/pronunciations/en/right-au.mp3,everyday
,word,how,ဘယ်လို,How do you make this dish?,ဒီဟင်းလျာကို ဘယ်လိုချက်တာလဲ။,/hæŏ/,https://api.dictionaryapi.dev/media/pronunciations/en/how-uk.mp3,everyday
,word,back,နောက်၊ ကျော,I'll be back in ten minutes.,ကျွန်တော် ဆယ်မိနစ်အတွင်း ပြန်လာမယ်။,/bæk/,https://api.dictionaryapi.dev/media/pronunciations/en/back-us.mp3,everyday
,word,mean,ဆိုလို၊ အဓိပ္ပာယ်,What does this word mean?,ဒီစကားလုံးက ဘာကို ဆိုလိုတာလဲ။,/miːn/,https://api.dictionaryapi.dev/media/pronunciations/en/mean-us.mp3,everyday
,word,even,တောင်,He didn't even say hello.,သူ နှုတ်ဆက်ကိုတောင် မပြောဘူး။,/ˈiːvən/,https://api.dictionaryapi.dev/media/pronunciations/en/even-us.mp3,everyday
,word,last,နောက်ဆုံး၊ ပြီးခဲ့သော,I saw her last week.,ကျွန်တော် သူ့ကို မနှစ်ပတ်က တွေ့ခဲ့တယ်။,/last/,https://api.dictionaryapi.dev/media/pronunciations/en/last-us.mp3,everyday
,word,child,ကလေး,The child is playing in the park.,ကလေးက ပန်းခြံထဲမှာ ကစားနေတယ်။,/t͡ʃaɪld/,https://api.dictionaryapi.dev/media/pronunciations/en/child-uk.mp3,people
,word,tell,ပြော၊ ပြောပြ,Can you tell me the truth?,ကျွန်တော့်ကို အမှန်ကို ပြောပြလို့ရမလား။,/tɛl/,https://api.dictionaryapi.dev/media/pronunciations/en/tell-us.mp3,conversation
,word,really,တကယ်,I really like this song.,ကျွန်တော် ဒီသီချင်းကို တကယ် ကြိုက်တယ်။,/ˈɹɪəli/,https://api.dictionaryapi.dev/media/pronunciations/en/really-1-us.mp3,everyday
,word,call,ခေါ်,Please call me tonight.,ဒီည ကျွန်တော့်ကို ဖုန်းခေါ်ပါ။,/kɔːɫ/,https://api.dictionaryapi.dev/media/pronunciations/en/call-au.mp3,everyday
,word,company,ကုမ္ပဏီ,She works for a big company.,သူ ကုမ္ပဏီကြီးတစ်ခုမှာ အလုပ်လုပ်တယ်။,/ˈkʌmp(ə)ni/,https://api.dictionaryapi.dev/media/pronunciations/en/company-uk.mp3,work-study
,word,down,အောက်,Please sit down.,ကျေးဇူးပြု၍ ထိုင်ပါ။,/daʊn/,https://api.dictionaryapi.dev/media/pronunciations/en/down-us.mp3,everyday
,word,show,ပြ၊ ပြသ,Can you show me the way?,လမ်းကို ပြပေးလို့ရမလား။,/ʃəʊ/,https://api.dictionaryapi.dev/media/pronunciations/en/show-uk.mp3,everyday
,word,life,ဘဝ၊ အသက်,Life in the city is busy.,မြို့ထဲက ဘဝက အလုပ်များတယ်။,/laɪf/,https://api.dictionaryapi.dev/media/pronunciations/en/life-uk.mp3,everyday
,word,man,အမျိုးသား၊ လူ,That man is my teacher.,အဲဒီယောက်ျားက ကျွန်တော့်ဆရာပါ။,[mɛn],https://api.dictionaryapi.dev/media/pronunciations/en/man-uk.mp3,people
,word,change,ပြောင်းလဲ,I want to change my job.,ကျွန်တော် အလုပ်ပြောင်းချင်တယ်။,/tʃeɪndʒ/,https://api.dictionaryapi.dev/media/pronunciations/en/change-uk.mp3,everyday
,word,place,နေရာ,This is a quiet place.,ဒါက တိတ်ဆိတ်တဲ့ နေရာတစ်ခုပါ။,/pleɪs/,https://api.dictionaryapi.dev/media/pronunciations/en/place-uk.mp3,travel
,word,long,ရှည်၊ ကြာ,It was a long journey.,ဒါက ခရီးရှည်ကြီးတစ်ခုပါ။,/ˈlɔːŋ/,https://api.dictionaryapi.dev/media/pronunciations/en/long-au.mp3,everyday
,word,feel,ခံစား,I feel tired today.,ကျွန်တော် ဒီနေ့ ပင်ပန်းနေတယ်။,/fiːl/,https://api.dictionaryapi.dev/media/pronunciations/en/feel-us.mp3,feelings
,word,too,လွန်း,This shirt is too small.,ဒီရှပ်အင်္ကျီက အရမ်းသေးလွန်းတယ်။,/tuː/,https://api.dictionaryapi.dev/media/pronunciations/en/too-us.mp3,everyday
,word,still,ရှိသေး၊ ငြိမ်သက်,He is still sleeping.,သူ အခုထိ အိပ်နေဆဲပါ။,/stɪl/,https://api.dictionaryapi.dev/media/pronunciations/en/still-uk.mp3,everyday
,word,problem,ပြဿနာ,We have a small problem.,ကျွန်တော်တို့မှာ ပြဿနာအနည်းငယ် ရှိတယ်။,/ˈpɹɒbləm/,https://api.dictionaryapi.dev/media/pronunciations/en/problem-us.mp3,everyday
,word,write,ရေး,Please write your name here.,ဒီနေရာမှာ နာမည်ကို ရေးပါ။,/ɹaɪt/,https://api.dictionaryapi.dev/media/pronunciations/en/write-uk.mp3,everyday
,word,same,တူ၊ အတူတူ,We have the same idea.,ကျွန်တော်တို့မှာ အတွေးအခေါ်တူတယ်။,/seɪm/,https://api.dictionaryapi.dev/media/pronunciations/en/same-us.mp3,everyday
,word,lot,အများကြီး,There is a lot of food.,အစားအစာ အများကြီး ရှိတယ်။,/lɒt/,https://api.dictionaryapi.dev/media/pronunciations/en/lot-uk.mp3,everyday
,word,great,ကြီးမား၊ အလွန်ကောင်း,The movie was great.,ရုပ်ရှင်ကား အရမ်းကောင်းတယ်။,/ɡɹeɪt/,https://api.dictionaryapi.dev/media/pronunciations/en/great-us.mp3,everyday
,word,try,ကြိုးစား,You should try this dish.,ဒီဟင်းလျာကို စမ်းစားသင့်တယ်။,/tɹaɪ/,https://api.dictionaryapi.dev/media/pronunciations/en/try-uk.mp3,everyday
,word,leave,ထွက်ခွာ၊ ချန်ထား,I have to leave now.,ကျွန်တော် အခု ထွက်ရတော့မယ်။,/liːv/,https://api.dictionaryapi.dev/media/pronunciations/en/leave-au.mp3,everyday
,word,number,နံပါတ်၊ အရေအတွက်,Can I have your phone number?,ခင်ဗျားရဲ့ ဖုန်းနံပါတ် ရနိုင်မလား။,/ˈnʌmbə/,,everyday
,word,part,အပိုင်း,This is my favorite part of the story.,ဒါက ဇာတ်လမ်းရဲ့ ကျွန်တော် အကြိုက်ဆုံး အပိုင်းပါ။,/pɐːt/,https://api.dictionaryapi.dev/media/pronunciations/en/part-us.mp3,everyday
,word,point,အချက်၊ အမှတ်,I understand your point.,ခင်ဗျားရဲ့ အချက်ကို နားလည်ပါတယ်။,/pɔɪnt/,https://api.dictionaryapi.dev/media/pronunciations/en/point-au.mp3,everyday
,word,little,နည်း၊ သေးငယ်,I speak a little English.,ကျွန်တော် အင်္ဂလိပ်စကား နည်းနည်း ပြောတတ်တယ်။,/ˈlɪ.ɾɫ̩/,https://api.dictionaryapi.dev/media/pronunciations/en/little-nz.mp3,everyday
,word,help,ကူညီ,Can you help me with this bag?,ဒီအိတ်ကို ကူညီပေးလို့ရမလား။,/hɛlp/,https://api.dictionaryapi.dev/media/pronunciations/en/help-us.mp3,everyday
,word,ask,မေး၊ တောင်း,Can I ask you a question?,မေးခွန်းတစ်ခု မေးလို့ရမလား။,/ˈask/,https://api.dictionaryapi.dev/media/pronunciations/en/ask-uk.mp3,conversation
,word,meet,တွေ့ဆုံ,Nice to meet you.,တွေ့ရတာ ဝမ်းသာပါတယ်။,/miːt/,https://api.dictionaryapi.dev/media/pronunciations/en/meet-uk.mp3,everyday
,word,start,စ၊ စတင်,The class starts at nine.,အတန်းက ကိုးနာရီမှာ စတယ်။,/stɑːt/,https://api.dictionaryapi.dev/media/pronunciations/en/start-uk.mp3,everyday
,word,talk,စကားပြော,Let's talk about the plan.,အစီအစဉ်အကြောင်း စကားပြောကြရအောင်။,/toːk/,,conversation
,word,put,ထား,Please put the book on the table.,စာအုပ်ကို စားပွဲပေါ်မှာ ထားပါ။,/pʊt/,https://api.dictionaryapi.dev/media/pronunciations/en/put-1-us.mp3,everyday
,word,become,ဖြစ်လာ,She wants to become a doctor.,သူ ဆရာဝန်ဖြစ်ချင်တယ်။,/bəˈkʊm/,https://api.dictionaryapi.dev/media/pronunciations/en/become-us.mp3,everyday
,word,interest,စိတ်ဝင်စား၊ အတိုး,He has an interest in music.,သူ ဂီတမှာ စိတ်ဝင်စားမှု ရှိတယ်။,/ˈɪntəɹɪst/,https://api.dictionaryapi.dev/media/pronunciations/en/interest-us.mp3,everyday
,word,country,နိုင်ငံ,Myanmar is a beautiful country.,မြန်မာနိုင်ငံက လှပတဲ့နိုင်ငံတစ်ခုပါ။,/ˈkɐntɹi/,https://api.dictionaryapi.dev/media/pronunciations/en/country-uk.mp3,travel
,word,old,အို၊ ဟောင်း,My grandmother is eighty years old.,အဖွားက အသက်ရှစ်ဆယ် ရှိပြီ။,/ˈɒʊld/,https://api.dictionaryapi.dev/media/pronunciations/en/old-uk.mp3,people
,word,school,ကျောင်း,My children go to school by bus.,ကျွန်တော့်ကလေးတွေ ဘတ်စ်ကားနဲ့ ကျောင်းသွားတယ်။,/skuːl/,https://api.dictionaryapi.dev/media/pronunciations/en/school-uk.mp3,work-study
,word,late,နောက်ကျ,"Sorry, I am late.",စိတ်မကောင်းပါဘူး၊ နောက်ကျသွားတယ်။,/leɪt/,https://api.dictionaryapi.dev/media/pronunciations/en/late-uk.mp3,everyday
,word,high,မြင့်,The mountain is very high.,တောင်က အရမ်းမြင့်တယ်။,/haɪ/,https://api.dictionaryapi.dev/media/pronunciations/en/high-uk.mp3,everyday
,word,different,ကွာခြား၊ မတူ,We have different opinions.,ကျွန်တော်တို့မှာ ထင်မြင်ချက် ကွဲပြားတယ်။,/ˈdɪf.(ə)ɹ.ənt/,https://api.dictionaryapi.dev/media/pronunciations/en/different-us.mp3,everyday
,word,next,နောက်၊ လာမည့်,See you next week.,နောက်အပတ် တွေ့မယ်နော်။,/nɛkst/,https://api.dictionaryapi.dev/media/pronunciations/en/next-us.mp3,everyday
,word,end,အဆုံး၊ အဆုံးသတ်,The story has a happy end.,ဇာတ်လမ်းက ပျော်ရွှင်ဖွယ် အဆုံးသတ်တယ်။,/ɛnd/,https://api.dictionaryapi.dev/media/pronunciations/en/end-au.mp3,everyday
,word,live,နေထိုင်၊ အသက်ရှင်,I live near the market.,ကျွန်တော် ဈေးအနီးမှာ နေထိုင်တယ်။,/lɪv/,https://api.dictionaryapi.dev/media/pronunciations/en/live-1-us.mp3,everyday
,word,why,ဘာကြောင့်,Why are you late?,ဘာလို့ နောက်ကျတာလဲ။,/waɪ/,https://api.dictionaryapi.dev/media/pronunciations/en/why-1-uk.mp3,everyday
,word,world,ကမ္ဘာ,He wants to travel around the world.,သူ ကမ္ဘာပတ်ပတ်ဖို့ လိုချင်တယ်။,/wɝld/,https://api.dictionaryapi.dev/media/pronunciations/en/world-ca.mp3,travel
,word,week,အပတ်,I go to the gym twice a week.,ကျွန်တော် တစ်ပတ်ကို နှစ်ခါ အားကစားရုံသွားတယ်။,/wiːk/,https://api.dictionaryapi.dev/media/pronunciations/en/week-uk.mp3,everyday
,word,play,ကစား,The children play in the garden.,ကလေးတွေ ဥယျာဉ်ထဲမှာ ကစားနေကြတယ်။,/pleɪ/,https://api.dictionaryapi.dev/media/pronunciations/en/play-us.mp3,everyday
,word,home,အိမ်,I stayed home all day.,ကျွန်တော် တစ်နေ့လုံး အိမ်မှာနေတယ်။,/(h)əʊm/,https://api.dictionaryapi.dev/media/pronunciations/en/home-us.mp3,everyday
,word,never,ဘယ်တော့မှ,I have never been to Japan.,ကျွန်တော် ဂျပန်ကို တစ်ခါမှ မသွားဖူးဘူး။,/ˈnɛv.ə(ɹ)/,https://api.dictionaryapi.dev/media/pronunciations/en/never-uk.mp3,everyday
,word,include,ပါဝင်,The price does not include breakfast.,ဈေးနှုန်းမှာ မနက်စာ မပါဝင်ဘူး။,/ɪnˈkluːd/,https://api.dictionaryapi.dev/media/pronunciations/en/include-us.mp3,everyday
,word,course,သင်တန်း,I am taking an English course.,ကျွန်တော် အင်္ဂလိပ်စာသင်တန်းတက်နေတယ်။,/kɔːs/,https://api.dictionaryapi.dev/media/pronunciations/en/course-us.mp3,work-study
,word,house,အိမ်,They bought a new house.,သူတို့ အိမ်အသစ်တစ်လုံး ဝယ်ခဲ့ကြတယ်။,/hʌʊs/,https://api.dictionaryapi.dev/media/pronunciations/en/house-1-ca.mp3,everyday
,word,report,အစီရင်ခံစာ၊ သတင်းပို့,Please send me the report.,အစီရင်ခံစာကို ပို့ပေးပါ။,/ɹəˈpoːt/,https://api.dictionaryapi.dev/media/pronunciations/en/report-us.mp3,work-study
,word,group,အုပ်စု,We are working in a small group.,ကျွန်တော်တို့ အုပ်စုငယ်တစ်စုနဲ့ အလုပ်လုပ်နေတယ်။,/ɡɹuːp/,,everyday
,word,case,အမှု၊ ကိစ္စ,"In this case, we need more time.",ဒီကိစ္စမှာဆိုရင် အချိန်ပိုလိုတယ်။,/keɪs/,https://api.dictionaryapi.dev/media/pronunciations/en/case-us.mp3,everyday
,word,woman,အမျိုးသမီး,The woman is reading a book.,အမျိုးသမီးက စာအုပ်တစ်အုပ် ဖတ်နေတယ်။,/ˈwʊmɘn/,https://api.dictionaryapi.dev/media/pronunciations/en/woman-uk.mp3,people
,word,book,စာအုပ်,I read a book before bed.,အိပ်ရာမဝင်ခင် စာအုပ်ဖတ်တယ်။,/buːk/,https://api.dictionaryapi.dev/media/pronunciations/en/book-uk.mp3,everyday
,word,family,မိသားစု,I love spending time with my family.,မိသားစုနဲ့ အချိန်ဖြုန်းရတာ ကြိုက်တယ်။,/ˈfɛm(ɘ)li/,https://api.dictionaryapi.dev/media/pronunciations/en/family-uk.mp3,people
,word,seem,ထင်ရ၊ ပုံပေါ်,You seem tired today.,ခင်ဗျား ဒီနေ့ ပင်ပန်းနေပုံရတယ်။,/siːm/,https://api.dictionaryapi.dev/media/pronunciations/en/seem-us.mp3,everyday
,word,let,ခွင့်ပြု,Let me help you.,ကျွန်တော် ကူညီပါရစေ။,/lɛt/,https://api.dictionaryapi.dev/media/pronunciations/en/let-us.mp3,everyday
,word,again,ထပ်၊ နောက်တစ်ကြိမ်,Can you say that again?,ထပ်ပြောပြပါလား။,/əˈɡeɪn/,https://api.dictionaryapi.dev/media/pronunciations/en/again-uk.mp3,everyday
,word,kind,မျိုး၊ ကြင်နာ,She is a kind person.,သူက စိတ်ကောင်းတဲ့ လူတစ်ယောက်ပါ။,/kaɪnd/,https://api.dictionaryapi.dev/media/pronunciations/en/kind-us.mp3,everyday
,word,keep,သိမ်း၊ ဆက်လက်,You can keep the change.,ချေးငွေကျန်ကို ယူထားလို့ရတယ်။,/kiːp/,https://api.dictionaryapi.dev/media/pronunciations/en/keep-au.mp3,everyday
,word,hear,ကြား,I can't hear you clearly.,ခင်ဗျားပြောတာ ရှင်းရှင်း မကြားရဘူး။,/hɪə(ɹ)/,https://api.dictionaryapi.dev/media/pronunciations/en/hear-uk.mp3,everyday
,word,system,စနစ်,The new system is faster.,စနစ်အသစ်က ပိုမြန်တယ်။,/ˈsɪstəm/,https://api.dictionaryapi.dev/media/pronunciations/en/system-au.mp3,everyday
,word,question,မေးခွန်း,I have a question for you.,ခင်ဗျားကို မေးခွန်းတစ်ခု ရှိတယ်။,/ˈkwɛstjən/,https://api.dictionaryapi.dev/media/pronunciations/en/question-us.mp3,conversation
,word,always,အမြဲ,She always arrives on time.,သူ အမြဲတမ်း အချိန်မှန် ရောက်တယ်။,/ˈɔː(l).weɪz/,https://api.dictionaryapi.dev/media/pronunciations/en/always-uk.mp3,everyday
,word,big,ကြီး,They live in a big house.,သူတို့ အိမ်ကြီးတစ်လုံးမှာ နေထိုင်ကြတယ်။,/bɪɡ/,https://api.dictionaryapi.dev/media/pronunciations/en/big-uk.mp3,everyday
,word,set,ချ၊ သတ်မှတ်,Please set the table.,စားပွဲကို ပြင်ဆင်ပေးပါ။,/sɛt/,https://api.dictionaryapi.dev/media/pronunciations/en/set-us.mp3,everyday
,word,small,သေး၊ ငယ်,We live in a small apartment.,ကျွန်တော်တို့ တိုက်ခန်းငယ်လေးမှာ နေထိုင်ကြတယ်။,/smoːl/,https://api.dictionaryapi.dev/media/pronunciations/en/small-uk.mp3,everyday
,word,study,လေ့လာ၊ ပညာသင်,I study English every evening.,ကျွန်တော် ညနေတိုင်း အင်္ဂလိပ်စာ လေ့လာတယ်။,/ˈstʌdi/,https://api.dictionaryapi.dev/media/pronunciations/en/study-uk.mp3,work-study
,word,follow,လိုက်,Please follow me.,ကျွန်တော့်နောက် လိုက်ခဲ့ပါ။,/ˈfɒləʊ/,https://api.dictionaryapi.dev/media/pronunciations/en/follow-us.mp3,everyday
,word,begin,စတင်,The meeting will begin soon.,အစည်းအဝေးက မကြာမီ စတော့မယ်။,/biˈɡɪn/,https://api.dictionaryapi.dev/media/pronunciations/en/begin-uk.mp3,everyday
,word,important,အရေးကြီး,This is an important decision.,ဒါက အရေးကြီးတဲ့ ဆုံးဖြတ်ချက်တစ်ခုပါ။,/ɪmˈpɔːtənt/,https://api.dictionaryapi.dev/media/pronunciations/en/important-us.mp3,everyday
,word,run,ပြေး၊ လည်ပတ်,I run in the park every morning.,ကျွန်တော် မနက်တိုင်း ပန်းခြံထဲမှာ ပြေးတယ်။,/ɹʊn/,https://api.dictionaryapi.dev/media/pronunciations/en/run-au.mp3,everyday
,word,turn,လှည့်၊ အလှည့်,Turn left at the next light.,နောက်မီးပွိုင့်မှာ ဘယ်ဘက် လှည့်ပါ။,/tɜːn/,https://api.dictionaryapi.dev/media/pronunciations/en/turn-au.mp3,everyday
,word,bring,ယူလာ,Please bring your umbrella.,ခင်ဗျားရဲ့ ထီးကို ယူလာပါ။,/ˈbɹɪŋ/,https://api.dictionaryapi.dev/media/pronunciations/en/bring-uk.mp3,everyday
,word,early,စော,We woke up early this morning.,ဒီမနက် စောစော နိုးခဲ့ကြတယ်။,/ˈɜː.li/,https://api.dictionaryapi.dev/media/pronunciations/en/early-uk.mp3,everyday
,word,hand,လက်,She held his hand.,သူမ သူ့လက်ကို ကိုင်ထားတယ်။,/hænd/,https://api.dictionaryapi.dev/media/pronunciations/en/hand-uk.mp3,everyday
,word,state,ပြည်နယ်၊ အခြေအနေ,Please state your name and address.,နာမည်နဲ့ လိပ်စာကို ပြောပြပါ။,/steɪt/,https://api.dictionaryapi.dev/media/pronunciations/en/state-uk.mp3,everyday
,word,move,ရွှေ့၊ လှုပ်ရှား,We are going to move to a new city.,ကျွန်တော်တို့ မြို့သစ်တစ်ခုကို ပြောင်းရွှေ့မယ်။,/muːv/,https://api.dictionaryapi.dev/media/pronunciations/en/move-us.mp3,everyday
,word,money,ငွေ,I don't have enough money.,ကျွန်တော့်မှာ ငွေလုံလောက်စွာ မရှိဘူး။,/ˈmʌni/,https://api.dictionaryapi.dev/media/pronunciations/en/money-uk.mp3,food-shopping
,word,fact,အချက်အလက်၊ အမှန်တရား,That is an interesting fact.,ဒါက စိတ်ဝင်စားစရာကောင်းတဲ့ အချက်အလက်တစ်ခုပါ။,/fækt/,https://api.dictionaryapi.dev/media/pronunciations/en/fact-us.mp3,everyday
,word,however,သို့သော်,"I was tired; however, I finished the work.",ကျွန်တော် ပင်ပန်းနေပေမယ့် အလုပ်ကို ပြီးအောင်လုပ်ခဲ့တယ်။,/hɑʊˈɛvə/,https://api.dictionaryapi.dev/media/pronunciations/en/however-us.mp3,conversation
,word,area,ဧရိယာ၊ နေရာ,This is a quiet area.,ဒါက တိတ်ဆိတ်တဲ့ဧရိယာတစ်ခုပါ။,/ˈɛə̯ɹɪə̯/,https://api.dictionaryapi.dev/media/pronunciations/en/area-us.mp3,everyday
,word,provide,ထောက်ပံ့၊ ပေး,The hotel provides free breakfast.,ဟိုတယ်က မနက်စာ အခမဲ့ ပေးတယ်။,/pɹəˈvaɪd/,https://api.dictionaryapi.dev/media/pronunciations/en/provide-us.mp3,everyday
,word,name,နာမည်,What is your name?,ခင်ဗျားနာမည် ဘယ်လိုခေါ်လဲ။,/neɪm/,https://api.dictionaryapi.dev/media/pronunciations/en/name-1-au.mp3,people
,word,read,ဖတ်,I like to read before sleeping.,အိပ်ခင်း စာဖတ်ရတာ ကြိုက်တယ်။,/ɹiːd/,https://api.dictionaryapi.dev/media/pronunciations/en/read-1-uk.mp3,everyday
,word,friend,သူငယ်ချင်း၊ မိတ်ဆွေ,She is my best friend.,သူက ကျွန်တော့် အကောင်းဆုံးသူငယ်ချင်းပါ။,/fɹɛnd/,https://api.dictionaryapi.dev/media/pronunciations/en/friend-uk.mp3,people
,word,month,လ,I will visit my parents next month.,နောက်လ မိဘများကို သွားလည်မယ်။,/mʌnθ/,https://api.dictionaryapi.dev/media/pronunciations/en/month-uk.mp3,everyday
,word,large,ကြီး၊ ကျယ်,They ordered a large pizza.,သူတို့ ပီဇာအကြီးတစ်ချပ် မှာခဲ့ကြတယ်။,/ˈlɑːd͡ʒ/,https://api.dictionaryapi.dev/media/pronunciations/en/large-uk.mp3,everyday
